"","DBN","School Name","Total Enrollment","Economic Need Index","% Male","% Black","% White","% Students with Disabilities","% Poverty","GT1","GT2","GT3","GT4","GT5","GTK","GE1","GE2","GE3","GE4","GE5","GE6","GE7","GE8","GEK","ICT1","ICT2","ICT3","ICT4","ICT5","ICT6","ICT7","ICT8","ICTK","ICTGT1","ICTGT2","ICTGT3","ICTGT4","ICTGT5","ICTGTK","SC121","SC1211","SC151","SC611","SC811","middle_levels","elementary_levels","self_contained","gifted","self_contained_and_gifted","school_type","class_option","borough"
"375","11X087","P.S. 087 Bronx",594,0.739,0.544,0.699,0.013,0.221,0.852,0,0,0,0,0,0,2,3,3,3,3,0,0,0,2,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx"
"376","11X089","P.S. 089 Bronx",1548,0.845,0.496,0.189,0.159,0.178,0.79,0,0,0,0,0,0,4,4,5,4,4,4,3,3,4,1,2,1,2,2,2,2,2,2,0,0,0,0,0,0,0,5,0,0,0,1,1,1,0,0,"K to 8","SC","Bronx"
"377","11X096","P.S. 096 Richard Rodgers",952,0.867,0.495,0.208,0.1,0.212,0.827,0,0,0,0,0,0,4,4,4,3,4,0,0,0,5,2,1,1,3,2,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx"
"378","11X097","P.S. 097 Bronx",659,0.658,0.49,0.27,0.161,0.214,0.804,0,0,0,0,0,0,3,3,3,3,2,0,0,0,3,1,1,1,1,2,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx"
"379","11X103","P.S. 103 Hector Fontanez",1129,0.884,0.514,0.493,0.023,0.224,0.898,0,0,0,0,0,0,6,5,6,4,6,0,0,0,7,1,2,2,2,2,0,0,0,1,0,0,0,0,0,0,4,4,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx"
"380","11X105","P.S. 105 Sen Abraham Bernstein",1101,0.876,0.512,0.114,0.159,0.198,0.919,0,0,0,0,0,0,5,5,4,3,5,0,0,0,5,1,2,2,3,4,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx"
"381","11X106","P.S. 106 Parkchester",1100,0.795,0.526,0.265,0.034,0.188,0.765,0,0,0,0,0,0,4,5,5,5,4,0,0,0,5,2,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx"
"382","11X108","P.S. 108 Philip J. Abinanti",614,0.614,0.552,0.059,0.391,0.16,0.782,0,0,0,0,0,0,3,3,2,2,3,0,0,0,3,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx"
"383","11X111","P.S. 111 Seton Falls",677,0.87,0.486,0.607,0.012,0.291,0.926,0,0,0,0,0,0,3,2,3,2,2,0,0,0,3,1,2,1,1,1,0,0,0,1,0,0,0,0,0,0,2,5,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx"
"384","11X112","P.S. 112 Bronxwood",432,0.924,0.516,0.486,0.025,0.238,0.975,0,0,0,0,0,0,1,1,1,2,2,0,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx"
"385","11X121","P.S. 121 Throop",917,0.753,0.508,0.559,0.058,0.188,0.695,1,1,1,1,1,1,4,3,4,5,4,0,0,0,4,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,1,1,1,1,"Elementary","SC and GT","Bronx"
"386","11X127","J.H.S. 127 The Castle Hill",806,0.801,0.498,0.218,0.027,0.181,0.793,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Middle","no option","Bronx"
"387","11X144","J.H.S. 144 Michelangelo",492,0.78,0.533,0.602,0.041,0.283,0.778,0,0,0,0,0,0,0,0,0,0,0,3,3,4,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,3,3,0,0,0,1,0,1,0,0,"Middle","SC","Bronx"
"388","11X153","P.S. 153 Helen Keller",649,0.507,0.512,0.581,0.042,0.123,0.656,1,2,2,2,2,1,3,1,1,2,2,0,0,0,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,1,1,"Elementary","SC and GT","Bronx"
"389","11X160","P.S. 160 Walt Disney",410,0.581,0.534,0.624,0.015,0.237,0.724,0,0,0,0,0,0,2,2,2,2,2,0,0,0,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,2,4,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx"
"390","11X169","Baychester Academy",409,0.719,0.462,0.733,0.012,0.178,0.856,0,0,0,0,0,0,2,2,2,2,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx"
"391","11X175","P.S. 175 City Island",332,0.376,0.488,0.09,0.488,0.187,0.527,0,0,0,0,0,0,2,1,1,1,1,1,2,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"K to 8","no option","Bronx"
"392","11X178","P.S. 178 - Dr. Selman Waksman",435,0.599,0.529,0.591,0.037,0.232,0.809,0,0,0,0,0,0,3,3,2,2,2,0,0,0,2,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx"
"393","11X180","M.S. 180 Dr. Daniel Hale Williams",968,0.587,0.454,0.696,0.026,0.175,0.764,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,5,4,0,0,0,1,0,1,0,0,"Middle","SC","Bronx"
"394","11X181","I.S. 181 Pablo Casals",883,0.62,0.533,0.59,0.036,0.232,0.826,0,0,0,0,0,0,0,0,0,0,0,6,5,6,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,3,4,0,0,0,1,0,1,0,0,"Middle","SC","Bronx"
"395","11X189","Cornerstone Academy for Social Action",373,0.809,0.501,0.493,0.029,0.204,0.887,0,0,0,0,0,0,2,2,1,1,1,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx"
"396","11X194","P.S./M.S. 194",1326,0.85,0.511,0.06,0.057,0.15,0.82,0,0,0,0,0,0,3,5,3,4,3,5,4,4,4,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,5,0,0,0,1,1,1,0,0,"K to 8","SC","Bronx"
"397","11X287","North Bronx School of Empowerment",568,0.861,0.546,0.592,0.025,0.269,0.882,0,0,0,0,0,0,0,0,0,0,0,5,4,4,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,3,3,0,0,0,1,0,1,0,0,"Middle","SC","Bronx"
"398","11X326","Bronx Green Middle School",395,0.853,0.529,0.215,0.134,0.215,0.939,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,"Middle","SC","Bronx"
"399","11X355","Bronx Alliance Middle School",339,0.816,0.534,0.631,0.009,0.206,0.823,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,"Middle","SC","Bronx"
"400","11X357","Young Voices Academy of the Bronx",347,0.797,0.565,0.078,0.144,0.124,0.865,0,0,0,0,0,0,1,2,2,1,0,0,0,0,2,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Bronx"
"401","11X370","Leaders of Tomorrow",400,0.87,0.572,0.565,0.027,0.338,0.955,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,2,3,0,0,0,1,0,1,0,0,"Middle","SC","Bronx"
"402","11X462","Cornerstone Academy for Social Action Middle Schoo",267,0.739,0.536,0.64,0.026,0.251,0.846,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Middle","no option","Bronx"
"403","11X468","Pelham Academy of Academics and Community Engageme",323,0.797,0.533,0.139,0.155,0.217,0.885,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,"Middle","SC","Bronx"
"404","11X481","The STEAM Bridge School",164,0.852,0.494,0.146,0.14,0.177,0.878,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx"
"405","11X483","The Matilda Avenue School",125,0.782,0.544,0.456,0.088,0.12,0.848,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Bronx"
"406","11X498","P.S./M.S. 11X498 - VAN NEST ACADEMY",636,0.71,0.527,0.119,0.16,0.217,0.766,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,3,2,1,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,"K to 8","SC","Bronx"
"407","11X529","One World Middle School at Edenwald",332,0.752,0.56,0.584,0.018,0.232,0.855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Middle","no option","Bronx"
"408","11X532","Baychester Middle School",300,0.772,0.57,0.68,0.007,0.223,0.867,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,1,0,0,0,1,0,1,0,0,"Middle","SC","Bronx"
"409","11X556","Bronx Park Middle School",406,0.868,0.507,0.175,0.135,0.197,0.901,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,"Middle","SC","Bronx"
"410","11X566","Pelham Gardens Middle School",451,0.769,0.503,0.59,0.042,0.248,0.778,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,5,4,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,"Middle","SC","Bronx"
"411","11X567","Linden Tree Elementary School",407,0.834,0.509,0.15,0.032,0.248,0.786,0,0,0,0,0,0,2,2,2,1,1,0,0,0,1,1,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Bronx"
"412","12X006","P.S. 006 West Farms",529,0.965,0.512,0.212,0.009,0.24,0.991,0,0,0,0,0,0,2,2,2,2,2,0,0,0,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx"
"413","12X044","P.S. 044 David C. Farragut",275,0.972,0.538,0.4,0.007,0.204,0.964,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Bronx"
"414","12X047","P.S. 047 John Randolph",1075,0.923,0.497,0.157,0.027,0.191,0.972,0,0,0,0,0,0,5,5,5,6,6,0,0,0,5,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,3,3,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx"
"415","12X057","P.S. 057 Crescent",509,0.941,0.511,0.22,0.016,0.238,0.898,0,0,0,0,0,0,2,3,1,1,1,0,0,0,3,1,1,2,2,2,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx"
"416","12X061","P.S. 061 Francisco Oller",292,0.953,0.524,0.199,0,0.182,0.976,0,0,0,0,0,0,1,1,1,2,2,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx"
"417","12X066","P.S. 066 School of Higher Expectations",669,0.94,0.51,0.268,0.015,0.221,0.897,0,0,0,0,0,0,3,3,2,2,3,0,0,0,3,1,1,2,2,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx"
"418","12X067","P.S. 067 Mohegan School",533,0.962,0.538,0.25,0.006,0.206,0.917,0,0,0,0,0,0,3,3,3,3,2,0,0,0,2,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx"
"419","12X098","J.H.S. 098 Herman Ridder",240,0.942,0.4,0.271,0.013,0.225,0.962,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,2,0,0,0,1,0,1,0,0,"Middle","SC","Bronx"
"420","12X129","M.S. 129 Academy for Independent Learning and Lead",517,0.942,0.528,0.288,0.01,0.296,0.94,0,0,0,0,0,0,0,0,0,0,0,5,4,4,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,2,0,0,0,1,0,1,0,0,"Middle","SC","Bronx"
"421","12X134","P.S. 134 George F. Bristow",651,0.933,0.548,0.402,0.029,0.203,0.952,0,0,0,0,0,0,4,3,4,3,3,0,0,0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx"
"422","12X150","P.S. 150 Charles James Fox",857,0.943,0.526,0.201,0.023,0.245,0.95,0,0,0,0,0,0,4,3,4,4,5,0,0,0,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx"
"423","12X190","E.S.M.T- I.S. 190",241,0.901,0.498,0.22,0.008,0.232,0.917,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,2,0,0,0,1,0,1,0,0,"Middle","SC","Bronx"
"424","12X195","P.S. 195",964,0.96,0.52,0.162,0.003,0.216,0.939,0,0,0,0,0,0,3,4,3,3,4,0,0,0,4,2,1,2,2,2,0,0,0,1,0,0,0,0,0,0,3,2,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx"
"425","12X196","P.S. 196",934,0.949,0.513,0.152,0.009,0.203,0.911,0,0,0,0,0,0,5,5,5,5,5,0,0,0,4,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,4,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx"
"426","12X211","P.S. 211",598,0.952,0.475,0.139,0.005,0.212,0.93,0,0,0,0,0,0,2,2,1,2,1,1,2,2,3,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,"K to 8","SC","Bronx"
"427","12X212","P.S. 212",437,0.937,0.503,0.346,0.007,0.151,0.982,0,0,0,0,0,0,2,2,2,1,1,2,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,"K to 8","SC","Bronx"
"428","12X214","P.S. 214",1078,0.914,0.508,0.25,0.01,0.192,0.894,0,0,0,1,0,0,3,3,2,2,1,4,4,4,3,1,1,1,1,2,1,2,1,1,0,0,1,0,0,0,6,0,0,0,0,1,1,1,1,1,"K to 8","SC and GT","Bronx"
"429","12X217","School of Performing Arts",300,0.951,0.423,0.313,0.01,0.327,0.97,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,1,0,0,0,1,0,1,0,0,"Middle","SC","Bronx"
