"","DBN","School Name","Total Enrollment","Economic Need Index","% Male","% Black","% White","% Students with Disabilities","% Poverty","GT1","GT2","GT3","GT4","GT5","GTK","GE1","GE2","GE3","GE4","GE5","GE6","GE7","GE8","GEK","ICT1","ICT2","ICT3","ICT4","ICT5","ICT6","ICT7","ICT8","ICTK","ICTGT1","ICTGT2","ICTGT3","ICTGT4","ICTGT5","ICTGTK","SC121","SC1211","SC151","SC611","SC811","middle_levels","elementary_levels","self_contained","gifted","self_contained_and_gifted","school_type","class_option","borough","% Attendance","% Chronically Absent","Year"
"317","10X046","P.S. 046 Edgar Allan Poe",921,0.951,0.499,0.127,0.026,0.25,0.925,0,0,0,0,0,0,4,5,4,4,4,0,0,0,5,1,1,1,2,2,0,0,0,1,0,0,0,0,0,0,3,7,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx","91.0","38.0","2017-18"
"318","10X051","P.S. 051 Bronx New School",217,0.837,0.548,0.355,0.023,0.157,0.894,0,0,0,0,0,0,2,2,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Elementary","no option","Bronx","92.6","26.3","2017-18"
"319","10X054","P.S./I.S. 54",485,0.948,0.485,0.233,0.01,0.198,0.973,0,0,0,0,0,0,3,3,3,3,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx","92.2","30.6","2017-18"
"320","10X056","P.S. 056 Norwood Heights",704,0.901,0.527,0.074,0.06,0.266,0.859,0,0,0,0,0,0,3,3,3,2,3,0,0,0,4,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx","92.7","25.6","2017-18"
"321","10X059","P.S. 059 The Community School of Technology",575,0.974,0.506,0.303,0.007,0.306,1,0,0,0,0,0,0,3,2,2,2,3,0,0,0,2,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx","90.1","41.2","2017-18"
"322","10X077","Bedford Park Elementary School",358,0.879,0.559,0.075,0.134,0.154,0.872,0,0,0,0,0,0,3,2,3,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx","91.7","34.4","2017-18"
"323","10X080","J.H.S. 080 The Mosholu Parkway",691,0.89,0.556,0.129,0.049,0.233,0.91,0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,4,0,0,0,1,0,1,0,0,"Middle","SC","Bronx","92.8","24.3","2017-18"
"324","10X081","P.S. 081 Robert J. Christen",725,0.414,0.505,0.08,0.284,0.185,0.486,0,0,0,0,0,0,4,4,4,3,2,0,0,0,5,1,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx","92.7","24.4","2017-18"
"325","10X085","P.S. 085 Great Expectations",953,0.958,0.507,0.271,0.003,0.218,0.962,0,0,0,0,0,0,5,4,4,4,4,0,0,0,5,1,1,2,2,2,0,0,0,1,0,0,0,0,0,0,1,5,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx","91.6","33.8","2017-18"
"326","10X086","P.S. 086 Kingsbridge Heights",1669,0.926,0.507,0.065,0.017,0.209,0.887,0,0,0,0,0,0,7,7,7,7,6,6,0,0,7,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,9,0,0,0,1,1,1,0,0,"K to 8","SC","Bronx","92.9","24.2","2017-18"
"327","10X091","P.S. 091 Bronx",727,0.949,0.494,0.169,0.018,0.22,0.945,0,0,0,0,0,0,3,4,3,3,3,0,0,0,4,2,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,1,1,0,0,"Elementary","SC","Bronx","91.6","32.2","2017-18"
